mu         sigma        energy           err         delta       acc/att    iterations
0.78          0.46     -0.141066    0.00289237           4.1        0.4935             9
0.78          0.48      -0.22445    0.00252232           4.4         0.497             6
0.78           0.5     -0.297232    0.00197569           4.5        0.4961             5
0.78          0.52     -0.350692    0.00165034           4.8        0.4932             2
0.78          0.54     -0.387926    0.00144325           4.9        0.4975             3
0.78          0.56     -0.416218    0.00105547           4.9        0.4996             1
0.78          0.58      -0.43181    0.00103867             5        0.5093             2
0.78           0.6     -0.440769   0.000725679           5.1         0.508             3
0.78          0.62     -0.442894   0.000755777           5.2        0.5037             4
0.78          0.64      -0.43909   0.000836508           5.2         0.509             4
0.78          0.66     -0.431816    0.00105801           5.3        0.4969             5
0.78          0.68     -0.419141    0.00145862           5.4        0.5026             6
0.78           0.7     -0.404207    0.00165831           5.4        0.5062             6
0.78          0.72     -0.387095     0.0019686           5.4        0.5032             6
0.78          0.74     -0.369273    0.00201236           5.4         0.505             6
0.78          0.76     -0.347522    0.00181592           5.5        0.4984             7
0.78          0.78     -0.316766    0.00229711           5.3        0.5079             5
0.78           0.8     -0.302471    0.00274621           5.4        0.5026             6
0.8           0.4       0.28302    0.00346151             2        0.4967            30
0.8          0.42      0.123373    0.00358773           2.4        0.4933            26
0.8          0.44     -0.018353    0.00340395           3.4        0.4921            16
0.8          0.46     -0.127741    0.00271106           3.7        0.5057            13
0.8          0.48     -0.226033    0.00232185           4.2        0.4934             8
0.8           0.5     -0.292448    0.00220251           4.5         0.497             5
0.8          0.52     -0.344871    0.00154822           4.8        0.4922             2
0.8          0.54     -0.386476    0.00127661           4.9         0.497             1
0.8          0.56     -0.415616    0.00104071             5          0.49             2
0.8          0.58     -0.434916   0.000772628           5.1        0.5012             3
0.8           0.6     -0.442052   0.000829128           5.2        0.5029             4
0.8          0.62     -0.444511    0.00090948           5.3        0.5067             5
0.8          0.64     -0.441008    0.00094371           5.4        0.5048             6
0.8          0.66     -0.431832    0.00107441           5.4         0.505             6
0.8          0.68     -0.417538    0.00138098           5.5         0.508             7
0.8           0.7     -0.402362     0.0013856           5.5        0.5095             7
